dish_name,dish_rating,cooking_time,course,cuisine,ingredients
Chipotle Honey Vinaigrette,4,600,[Salads],American,"['red wine vinegar', 'honey', 'vegetable oil', 'dried oregano', 'salt', 'ground black pepper', 'chipotle in adobo', 'garlic clove']"
Turkey Stuffed Peppers,5,3300,[Main Dishes],American,"['meat', 'garlic', 'onion', 'chopped cilantro fresh', 'garlic powder', 'cumin', 'salt', 'red bell pepper', ' chicken broth', 'tomato sauce', 'cooked rice', 'olive oil spray', ' shredded cheese']"
BLT Wraps,5,,[Lunch and Snacks],American,"['mayonnaise', 'oil', 'flour tortilla', 'iceberg lettuce', 'bacon', 'sun dried tomato']"
Turnip Greens Stew,3,3600,,American,"['chopped cooked ham', 'vegetable oil', 'chicken broth', 'turnip green', 'seasoning', 'sugar', 'pepper']"
Bacon Cheese Fries,5,1200,"[Appetizers, Lunch and Snacks]",American,"['french fry', 'shredded cheddar cheese', 'green onion', 'bacon', 'ranch dressing']"
Southern Style Meatloaf,3,5220,[Main Dishes],American,"['ground beef', 'saltine', 'finely chopped onion', 'chopped green bell pepper', ' egg', 'paprika', 'garlic salt', 'dri leav thyme', 'ground black pepper', 'ketchup', 'milk', 'worcestershire sauce']"
Marinated Roasted Red Pepper Grilled Cheese Sandwich,5,1500,[Lunch and Snacks],American,"['multigrain bread', 'olive oil', 'roasted red pepper', 'fresh mozzarella', 'basil']"
Classic Pb&j Sandwich,4,300,[Lunch and Snacks],American,"['skippy creamy peanut butter', 'bread', 'jelli strawberri']"
Cream of Asparagus Soup,5,,"[Lunch and Snacks, Soups]",American,"['asparagus', 'butter', 'onion', ' chicken broth', ' sour cream', 'salt', 'pepper']"
Sharp Cheddar Cheese Crackers,5,6300,"[Appetizers, Lunch and Snacks]",American,"['unsalted butter', 'sharp cheddar cheese', 'salt', 'cracked black pepper', 'all purpose flour', 'cold water', 'garlic powder', 'chili powder', 'ancho powder', 'smoked paprika']"
Prime Rib,5,,[Main Dishes],American,"['rib eye roast', 'olive oil', 'kosher salt', 'peppercorn', 'rosemary', 'thyme', 'minced garlic']"
So Easy Slow Cooker Macaroni & Cheese,4,11400,"[Lunch and Snacks, Main Dishes]",American,"[' milk', 'american cheese slice', 'elbow macaroni', 'cook and drain', 'i can t believe it s not butter spread', 'grated parmesan cheese']"
Classic Spinach Salad,4,1200,[Salads],American,"['frozen chopped spinach', 'thawed and squeezed dry', 'wish bone balsam vinaigrett dress', 'sliced mushroom', 'tomato', 'crouton', 'purple onion', 'bacon', 'crisp cooked and crumbled', 'egg']"
Asparagus Gratin,5,1800,[Side Dishes],American,"['water', 'asparagus', 'butter', 'flour', 'gruyere cheese', 'pepper', 'salt']"
Glazed Baby Carrots,4,1800,[Side Dishes],American,"['light brown sugar', 'butter', 'hidden valley original ranch salad dressing seasoning mix', 'baby carrot']"
Southern Fried Okra,4,2700,[],Southern & Soul Food,"['okra', 'buttermilk', 'self rising cornmeal', 'oil']"
Turkey Turnovers,4,1620,"[Lunch and Snacks, Main Dishes]",American,"['turkey', 'shredded cheddar cheese', 'broccoli', 'hellmann or best food real mayonnais', 'salt', 'ground black pepper', 'refrigerated crescent roll']"
Slow Cooker Barbecued Ribs,5,24300,"[Condiments and Sauces, Main Dishes]",American,"['sweet paprika', 'brown sugar', 'cayenne pepper', 'salt', 'ground black pepper', 'pork baby back rib', 'barbecue sauce', 'vegetable oil spray']"
Avocado Egg Salad,5,,[Salads],American,"['hard boiled egg', 'egg white', 'ha avocado', 'light mayonnaise', 'plain yogurt', 'chive', 'red wine vinegar', 'kosher salt', 'freshly ground pepper']"
Marinated Heirloom Tomato Salad,5,3000,[Salads],American,"['heirloom tomato', 'fresh basil', 'fresh lemon', 'extra virgin olive oil', 'sugar', 'salt', 'black pepper', 'tabasco pepper sauce']"
Chopped Apple Quinoa Salad,4,1800,[Salads],American,"['apple', 'carrot', 'cooked quinoa', 'chopped almond', 'fresh parsley', 'chutney', 'mixed green', 'salt']"
Zesty Chicken and Potatoes,4,4500,[Main Dishes],American,"[' italian salad dressing', 'lime juice', 'lemon juice', 'rosemary', 'potato', 'garlic', 'chicken thigh']"
Oven Fried Chicken,5,3000,"[Lunch and Snacks, Main Dishes]",American,"['bone in', 'bran flake', 'kosher salt', 'garlic powder', 'paprika', 'black pepper', 'cayenne pepper', 'light mayonnaise', 'dijon mustard', 'oil']"
Homemade Glazed Doughnuts,5,1620,"[Breakfast and Brunch, Breads]",American,"['whole milk', 'sugar', 'active dry yeast', ' egg', 'unsalted butter', 'all purpose flour', 'salt', 'shortening', 'powdered sugar', 'vanilla', 'cold water']"
Maple Meatballs,5,1200,,American,"['maple syrup', 'chili sauce', 'chive', 'soy sauce', 'ground mustard', 'cooked meatball']"
Best Marinade for Steak,4,3000,,American,"['worcestershire sauce', 'soy sauce', 'liquid smoke', 'onion powder', 'garlic powder', 'lime juice', 'lime', 'chili powder', 'flank steak', 'fresh cilantro']"
Roasted Cauliflower,4,3300,"[Lunch and Snacks, Side Dishes]",American,"['cauliflower floret', 'country crock spread', 'lemon juice', 'garlic', 'ground black pepper', 'grated parmesan cheese']"
Balsamic Roast Beef,3,14700,[Main Dishes],American,"['chuck', 'beef broth', 'balsamic vinegar', 'worcestershire sauce', 'soy sauce', 'honey', 'red pepper flake', 'garlic']"
Kale Chips,5,,[Lunch and Snacks],American,"['kale leaf', 'olive oil', 'sea salt']"
Popovers,5,2700,"[Breakfast and Brunch, Breads]",American,"['melted butter', 'whole milk', 'egg', 'salt', 'all purpose flour']"
Sour Cream Mashed Potatoes,4,2400,[Side Dishes],American,"['red potato', 'kosher salt', 'black pepper', 'sour cream', 'milk', 'unsalted butter', 'scallion']"
Chocolate Toffee Popcorn,5,1200,"[Desserts, Lunch and Snacks]",American,"['popcorn', 'semi sweet chocolate morsel', 'toffee bit', 'sea salt']"
Grilled Turkey Burgers,5,1500,"[Lunch and Snacks, Main Dishes]",American,"['ground turkey', 'italian turkey sausage', 'ground black pepper', 'worcestershire sauce', 'dijon mustard', 'hamburger bun']"
Sweet-and-Tangy Roasted Pork Tenderloin,4,5100,[Main Dishes],American,"['brown sugar', 'cider vinegar', 'tomato paste', 'chili powder', 'ground cumin', 'ground black pepper', 'pork tenderloin']"
Champagne Vinaigrette,4,1800,[Salads],American,"['champagne vinegar', 'white sugar', 'shallot', 'ground cumin', 'kosher salt', 'olive oil']"
Crawfish Balls,4,3000,[Appetizers],American,"['crawfish', 'italian seasoned breadcrumb', 'onion', 'garlic', 'egg', 'worcestershire sauce', 'lemon juice', 'shrimp and crab boil seasoning', 'chopped parsley', 'green onion', 'all purpose flour', 'cooking oil']"
Croissant French Toast,4,2100,[Breakfast and Brunch],American,"['croissant', 'egg', 'half half', 'sugar', 'ground cinnamon', 'vanilla extract', 'butter', 'syrup', 'strawberry', 'whipped cream']"
Southern Collard Greens,5,11400,[Side Dishes],Southern & Soul Food,"['water', 'ham hock', 'collard green', 'crushed red pepper flake', 'vegetable oil', 'pepper', 'salt']"
Hash Browns,4,2100,"[Lunch and Snacks, Side Dishes, Breakfast and Brunch]",American,"['olive oil', 'butter', 'onion', 'potato', 'pepper', 'salt']"
Broccoli Salad,5,2100,"[Lunch and Snacks, Salads, Side Dishes]",American,"['broccoli', 'olive oil', 'rice vinegar', 'lemon juice', 'garlic', 'mustard', 'salt', 'pepper', 'chili flake']"
Mediterranean Potato & Green Bean Salad,4,1800,"[Salads, Side Dishes]",American,"['red potato', 'green bean', 'wish bone balsam vinaigrett dress', 'red bell pepper']"
Zucchini Tots,5,,,American,"['zucchini', ' egg', 'onion', ' sharp cheddar cheese', 'bread crumb', 'pepper', 'salt', 'cooking spray']"
Baked Vidalia Onion Dip,4,2100,[Appetizers],Southern & Soul Food,"['onion', 'grated parmesan cheese', 'hellmann or best food real mayonnais', 'garlic', 'hot pepper sauce']"
Crawfish Cornbread,4,5100,[Breads],Southern & Soul Food,"['yellow corn meal', 'baking powder', 'salt', 'creole seasoning', 'egg', 'vegetable oil', 'yellow onion', 'cheddar cheese', 'frozen corn', 'crawfish', 'jalapeno chilies']"
Best Ever Pasta Salad,4,2100,[Salads],American,"['penne pasta', 'cucumber', 'plum tomato', 'mayonnaise', 'sour cream', 'dried dillweed', 'lemon pepper']"
Mashed Sweet Potatoes Brulee,5,,[Side Dishes],American,"['sweet potato', ' milk', 'butter', 'salt', 'ground cinnamon', 'ground nutmeg', 'light brown sugar']"
Artichokes,4,1500,,American,"['artichoke', 'butter', 'garlic', 'pepper', 'salt']"
Roasted Carrots with Dill,4,,[Side Dishes],American,"['carrot', 'olive oil', 'dill', 'kosher salt', 'pepper', 'cooking oil']"
Cranberry Sauce,5,1800,"[Condiments and Sauces, Side Dishes]",American,"['cranberry', 'water', 'sugar']"
Caramelized Onion Chicken Soup,4,3300,[Soups],American,"['onion', 'garlic', 'cooked chicken', 'chicken stock', 'kosher salt']"
Smothered Potatoes,4,2400,[Side Dishes],American,"['red potato', 'pepper', 'salt', 'all purpose flour', 'onion', 'vegetable oil', 'water']"
Southern Fried Cabbage,5,900,[Side Dishes],Southern & Soul Food,"['bacon', 'vegetable oil', 'salt', 'ground black pepper', 'cabbage', 'white onion', 'white sugar']"
Baby Red Potato Salad,5,,[Salads],American,"['red potato', 'green bell pepper', 'purple onion', 'scallion', 'dijon mustard', 'extra virgin olive oil', 'red wine vinegar', ' mayonnaise', 'salt', 'pepper']"
Turkey Club Sandwich,5,,[Lunch and Snacks],American,"['white sandwich bread', 'mayonnaise', 'turkey breast', 'thick cut bacon', 'tomato', 'lettuce']"
Garlic Fries,5,,"[Appetizers, Lunch and Snacks, Side Dishes]",American,"['french fry', 'vegetable oil', 'garlic', 'finely chopped fresh parsley', 'salt']"
Grilled Cheese Sandwich,5,1200,[Lunch and Snacks],American,"['white bread', 'butter', 'cheddar cheese']"
Grilled Buffalo Chicken Pizza,4,1500,[Main Dishes],American,"['prebaked pizza crust', 'ragu organic pasta sauc', 'buffalo chicken strip style', 'celery', 'shredded mozzarella cheese', 'blue cheese']"
Pineapple Limeade Cooler,4,600,[Beverages],American,"['pineapple juice', 'limeade', 'sierra mist', 'ice', 'lime wedge', 'mint leaf']"
Creamy Macaroni and Cheese,5,2400,"[Main Dishes, Side Dishes]",American,"['elbow macaroni', 'salt', 'butter', 'flour', 'milk', 'monterey jack', 'cheddar cheese']"
Easy Chicken Pot Pie,4,4200,[Main Dishes],American,"['refrigerated piecrusts', 'chicken', 'mixed vegetable', 'cream of chicken soup', 'celery flake', 'pepper', 'poultry seasoning']"
Marmalade- and Ginger-glazed Sweet Potatoes,3,5100,[Side Dishes],American,"['sweet potato', 'orange', 'orange marmalade', 'brandy', 'butter', 'crystallized ginger', 'salt']"
Smoky Paprika BBQ Potato Chips,5,1200,,American,"['potato chip', 'turbinado', 'sea salt', 'paprika', 'garlic powder']"
Garlic Fries,5,,"[Appetizers, Lunch and Snacks, Side Dishes]",American,"['baking potato', 'vegetable oil', 'salt', 'garlic clove', 'flat leaf parsley']"
Jambalaya with White Quinoa,4,3900,[Main Dishes],Cajun & Creole,"['andouille sausage', 'onion', 'green bell pepper', 'red bell pepper', 'celery', 'diced tomato', 'chicken stock', 'dried oregano', 'dried thyme', 'cajun seasoning', 'hot sauce', 'worcestershire sauce', 'bay leaf', 'kosher salt', 'ground pepper', 'shrimp', 'quinoa']"
Apple Cider Vinaigrette,5,300,[Salads],American,"['apple juice', 'apple cider vinegar', 'kosher salt', 'cracked black pepper', 'extra virgin olive oil']"
Kentucky Hot Brown Bake,5,900,[Main Dishes],Southern & Soul Food,"['refrigerated crescent roll', 'meat', 'cooked bacon', 'swiss cheese', 'rom tomato', 'egg']"
Orange Banana Smoothie,4,300,[Beverages],American,"['cold milk', 'orange', 'banana', 'sugar', 'salt', ' yogurt', 'ice']"
Broccolini Salad,5,1500,[Salads],American,"['baby broccoli', 'scallion', 'pepper', 'extra virgin olive oil', 'salt', 'crouton', 'fresh lemon juice', 'sliced almond', 'chees fresh mozzarella']"
Grilled Zucchini and Tomato Salad,5,1500,,American,"['zucchini', 'tomato', 'cooking spray', 'kosher salt', 'ground black pepper', 'fresh parsley']"
Cauliflower Puree,3,2400,[Side Dishes],American,"['cauliflower', 'coarse salt', 'ground pepper', ' chicken broth', 'extra virgin olive oil']"
Twice-Baked Potatoes,4,7200,"[Lunch and Snacks, Side Dishes]",American,"['russet potato', 'milk', 'unsalted butter', 'sour cream', 'sharp cheddar cheese', 'freshly ground pepper', 'coarse salt', 'chopped fresh chive']"
Parker House Rolls,5,10200,[Breads],American,"['whole milk', 'active dry yeast', 'all purpose flour', 'unsalted butter', 'coarse salt', 'sugar', 'nonstick spray']"
Strawberry Lemonade,5,1500,[Beverages],Southern & Soul Food,"['sugar', 'water', 'lemon', 'strawberry', 'fresh lemon juice', 'ice cube']"
Homemade Cajun French Fries,5,,,American,"['oil', 'cajun seasoning', 'smoked paprika', 'kosher salt', 'ground black pepper', 'garlic powder', 'dried oregano', 'russet potato', 'water', 'cold water', 'granulated sugar']"
Slow Roasted Tomato BLT,5,,,American,"['bread', 'lettuce', 'rom tomato', 'bacon', 'pesto', 'mayonnaise', 'plum tomato', 'olive oil', 'thyme', 'pepper', 'salt']"
Waldorf Salad,4,900,"[Lunch and Snacks, Salads, Side Dishes]",American,"['apple', 'red grape', 'chopped celery', 'chopped walnut', 'lemon juice', 'mayonnaise', 'lettuce']"
Strawberry Hemp Granola,5,4500,[Breakfast and Brunch],American,"['oat', 'hemp seed', 'honey', 'sunflower oil', 'orange juice', 'vanilla', 'dried strawberry']"
Mint Lemonade,5,1800,[Beverages],American,"['sugar', 'ice cube', 'lemon juice', 'mint', 'lemon']"
Beef Barley Soup,5,,[Soups],American,"['oil', 'meat', 'carrot', 'onion', 'chopped celery', 'garlic', 'water', 'kosher salt', 'bay leaf', 'barley', 'ground black pepper']"
Chocolate Thumbprints,4,3000,"[Lunch and Snacks, Desserts]",American,"['unsalted butter', 'confectioner sugar', 'salt', 'pure vanilla extract', 'all purpose flour', 'semisweet chocolate', 'light corn syrup']"
Lobster Roll,5,900,[Lunch and Snacks],American,"['lobster', 'mayonnaise ', 'sea salt', 'pepper', 'grated lemon zest', 'lemon juice', 'hot dog roll']"
Mustard-Glazed Salmon,3,900,[Main Dishes],American,"['olive oil', 'dijon mustard', 'fresh lemon juice', 'pepper', 'salt', 'salmon fillet', 'fresh dill']"
"Sliced Tomato, Olive, and Goat Cheese Salad with Onion-Caper Vinaigrette",5,,[Salads],American,"['vine ripened tomato', 'kalamata', 'cheese', 'balsamic vinegar', 'extra virgin olive oil', 'caper', 'purple onion']"
Popovers,5,3000,"[Breakfast and Brunch, Breads]",American,"['egg', 'all purpose flour', 'milk', 'salt']"
Honey-Balsamic Vinaigrette,4,600,[Salads],American,"['balsamic vinegar', 'honey', 'dijon mustard', 'extra virgin olive oil', 'coarse salt', 'ground pepper']"
Jerk Seasoning,4,1500,,American,"['dried thyme', 'sugar', 'allspice', 'coarse salt', 'cayenne pepper', 'ground pepper']"
Simple Syrup,4,1800,"[Condiments and Sauces, Beverages]",Cuban,"['sugar', 'water']"
Roasted Onions,4,2400,[Side Dishes],American,"['yellow onion', 'olive oil', 'salt', 'ground pepper', 'balsamic vinegar']"
Spicy Roasted Chickpeas,4,1500,"[Appetizers, Lunch and Snacks]",American,"['extra virgin olive oil', 'chickpea', 'cayenne pepper', 'cumin seed', 'coarse salt']"
Apricot Butter,5,2700,"[Appetizers, Condiments and Sauces]",American,"['dried apricot', 'water', 'butter', 'vanilla extract', 'sea salt']"
Caramelized Onions,4,4500,"[Appetizers, Side Dishes]",American,"['unsalted butter', 'yellow onion', 'coarse salt', 'sugar']"
Saut̩ed Brussels Sprouts with Pancetta,5,,[Side Dishes],American,"['pancetta', 'brussels sprout', 'extra virgin olive oil', 'garlic', 'ground pepper', 'kosher salt']"
Soul Smothered Chicken,5,4500,[Main Dishes],American,"['butter', 'chicken', 'salt', 'ground black pepper', 'all purpose flour', 'yellow onion', 'chopped celery', 'garlic', 'carrot', 'chicken broth', 'cayenne pepper']"
Cream of Broccoli,4,,[Soups],American,"['butter', 'onion', 'celery rib', 'chicken broth', 'broccoli floret', 'all purpose flour', 'milk', 'pepper', 'salt']"
Popovers,4,3600,"[Breakfast and Brunch, Breads]",American,"['whole milk', 'all purpose flour', 'coarse salt', ' egg', 'unsalted butter']"
Roasted Fennel,4,2100,[Side Dishes],American,"['fennel bulb', 'olive oil', 'coarse salt', 'ground pepper']"
Baked French Toast,5,3900,[Breakfast and Brunch],American,"[' egg', 'whipping cream', 'vanilla extract', 'ground cinnamon', 'french bread', 'salted butter']"
Roast Chicken,4,5700,[Main Dishes],American,"['whole chicken', 'kosher salt', 'lemon', 'pepper', 'dried rosemary', 'olive oil', 'butter']"
Smoked Turkey,5,16200,[Main Dishes],American,"['brine', 'turkey', 'kosher salt', 'cracked black pepper']"
Boston Iced Tea,5,2100,[Beverages],American,"['water', 'white sugar', 'tea bag', 'frozen cranberry juice concentrate']"
Mashed Potato Casserole,3,3900,[Side Dishes],American,"['potato', 'salt', 'butter', 'daisy sour cream', 'sharp cheddar cheese', 'fresh chive', 'french fried onion', 'bacon piece']"
Maple Pecan Oatmeal,4,1800,[Breakfast and Brunch],American,"['old fashioned oat', 'milk', 'vanilla', 'ground flaxseed', 'brown sugar', 'maple syrup', 'cinnamon', 'chopped pecan']"
Honey and Balsamic-Onions Chicken Skillet,4,1800,[Main Dishes],American,"['extra virgin olive oil', 'sweet onion', 'balsamic vinegar', 'chicken breast', 'garlic salt', 'pepper', 'chicken broth', 'honey']"
Oven-roasted Root Vegetables,4,3000,[Side Dishes],American,"['best food mayonnaise dressing with extra virgin olive oil', 'assorted fresh vegetable', 'garlic', 'fresh rosemary', 'ground black pepper']"
Cantaloupe Salsa,5,1200,"[Appetizers, Condiments and Sauces]",American,"['cantaloupe', 'sweet onion', 'fresh basil', 'green chile', 'fresh lime juice', 'salt']"
The Best Corn Bread You'll Ever Eat,4,2100,[Breads],American,"['egg', 'milk', 'vegetable oil', 'cornmeal', 'cream style corn', 'sour cream']"
Scallion Mashed Potatoes,5,1800,[Side Dishes],American,"['yukon gold potato', 'green onion', 'almond milk', 'extra virgin olive oil', 'salt', 'black pepper']"
Collards With Red Onions,3,6000,[],Southern & Soul Food,"['collard green', 'purple onion', 'vegetable oil', 'vegetable broth', 'cider vinegar', 'dark brown sugar', 'salt', 'crushed red pepper']"
Easy Jambalaya,4,1200,[Main Dishes],American,"['sweet italian sausag link', 'cut into', 'green bell pepper', 'knorr cajun side red bean rice', 'water', 'celery', 'onion powder']"
Kale Chips,5,1500,[Lunch and Snacks],American,"['kale', 'extra virgin olive oil', 'coarse salt']"
Croutons,3,1500,"[Lunch and Snacks, Breads]",American,"['butter', 'sourdough bread', 'freshly ground pepper', 'coarse salt']"
Chocolate Thumbprints,4,1800,"[Desserts, Lunch and Snacks]",American,"['unsalted butter', 'confectioner sugar', 'salt', 'vanilla extract', 'all purpose flour', 'semisweet chocolate', 'corn syrup']"
Honey Limeade,5,900,[Beverages],American,"['lime juice', 'water', 'white sugar', 'honey']"
Chopped Apple Salad,5,1800,"[Lunch and Snacks, Salads]",American,"['granny smith apple', 'baby spinach', 'belgian endive', 'chopped walnut', 'blue cheese', 'red wine vinegar', 'dijon mustard', 'honey', 'extra virgin olive oil', 'pomegranate molasses']"
Sweet Potato and Quinoa Salad,5,3900,"[Side Dishes, Salads]",American,"['sweet potato', 'quinoa', 'water', 'fresh basil', 'olive oil', 'feta cheese', 'pepper', 'salt']"
Bacon Cheeseburger Dip,4,1260,[Appetizers],American,"['ground beef', 'shredded cheddar cheese', 'hellmann or best food real mayonnais', 'sour cream', 'tomato', 'bacon', 'crisp cooked and crumbled', 'purple onion']"
Composed Cobb Salad,4,900,[Salads],American,"['torn romain lettuc leav', 'tomato', 'turkey', 'avocado', 'cook egg hard', 'blue cheese', 'bacon', 'crisp cooked and crumbled', 'salad']"
Southern Mashed Potatoes,4,2100,[Side Dishes],American,"['potato', 'milk', 'salt', 'pepper', 'mayonnaise', 'butter']"
Rainbow Layer Cake,5,6300,"[Afternoon Tea, Desserts]",American,"['vanilla', 'unsalted butter', 'confectioner sugar', 'heavy cream', 'vanilla extract']"
Braised Broccolini,3,1800,[Side Dishes],American,"['extra virgin olive oil', ' garlic clove', 'broccolini', ' chicken broth', 'coarse salt', 'red pepper flake']"
